年月日,日報酬率 %
2024/04/29,1.8638
2024/04/26,1.3249
2024/04/25,-1.3626
2024/04/24,2.7167
2024/04/23,0.9688
2024/04/22,-0.5935
2024/04/19,-3.813
2024/04/18,0.4347
2024/04/17,1.5645
2024/04/16,-2.6788
2024/04/15,-1.3831
2024/04/12,-0.0802
2024/04/11,-0.0497
2024/04/10,-0.1571
2024/04/09,1.8538
2024/04/08,0.3939
2024/04/03,-0.6301
2024/04/02,1.2078
2024/04/01,-0.3554
2024/03/29,0.7341
2024/03/28,-0.2652
2024/03/27,0.3658
2024/03/26,-0.3257
2024/03/25,-0.1789
2024/03/22,0.1453
2024/03/21,2.0958
2024/03/20,-0.3664
2024/03/19,-0.1139
2024/03/18,1.0027
2024/03/15,-1.2811
2024/03/14,0.0472
2024/03/13,0.0701
2024/03/12,0.9554
2024/03/11,-0.2994
2024/03/08,0.4661
2024/03/07,0.9953
2024/03/06,0.5804
2024/03/05,0.4227
2024/03/04,1.9507
2024/03/01,-0.1626
2024/02/29,0.5959
2024/02/27,-0.4942
2024/02/26,0.3116
2024/02/23,0.1931
2024/02/22,0.9449
2024/02/21,-0.4098
2024/02/20,0.6298
2024/02/19,0.1534
2024/02/16,-0.2002
2024/02/15,3.031
2024/02/05,0.2001
2024/02/02,0.511
2024/02/01,0.4391
2024/01/31,-0.8044
2024/01/30,-0.4691
2024/01/29,0.6924
2024/01/26,-0.0422
2024/01/25,0.7093
2024/01/24,0.0069
2024/01/23,0.3339
2024/01/22,0.7555
2024/01/19,2.6337
2024/01/18,0.3846
2024/01/17,-1.0669
2024/01/16,-1.1395
2024/01/15,0.1941
2024/01/12,-0.1852
2024/01/11,0.4563
2024/01/10,-0.3984
2024/01/09,-0.2115
2024/01/08,0.3055
2024/01/05,-0.1738
2024/01/04,-0.055
2024/01/03,-1.6492
2024/01/02,-0.4297
2023/12/29,0.1141
2023/12/28,0.1055
2023/12/27,0.7874
2023/12/26,0.8344
2023/12/25,0.0467
2023/12/22,0.3015
2023/12/21,-0.5186
2023/12/20,0.3337
2023/12/19,-0.4276
2023/12/18,-0.1236
2023/12/15,0.1176
2023/12/14,1.0543
2023/12/13,0.1049
2023/12/12,0.1854
2023/12/11,0.1976
2023/12/08,0.6091
2023/12/07,-0.4722
2023/12/06,0.1888
2023/12/05,-0.5365
2023/12/04,-0.0967
2023/12/01,0.0258
2023/11/30,0.3644
2023/11/29,0.169
2023/11/28,1.1894
2023/11/27,-0.8677
2023/11/24,-0.0412
2023/11/23,-0.0908
2023/11/22,-0.6111
2023/11/21,1.1983
2023/11/20,0.0088
2023/11/17,0.22
2023/11/16,0.2475
2023/11/15,1.2596
2023/11/14,0.4538
2023/11/13,0.9388
2023/11/10,-0.3761
2023/11/09,0.0288
2023/11/08,0.3349
2023/11/07,0.2138
2023/11/06,0.8585
2023/11/03,0.6751
2023/11/02,2.2346
2023/11/01,0.233
2023/10/31,-0.919
2023/10/30,0.0934
2023/10/27,0.3787
2023/10/26,-1.7431
2023/10/25,0.3012
2023/10/24,0.3594
2023/10/23,-1.1518
2023/10/20,-0.073
2023/10/19,0.0719
2023/10/18,-1.2116
2023/10/17,-0.0582
2023/10/16,-0.7766
2023/10/13,-0.2576
2023/10/12,0.923
2023/10/11,0.9168
2023/10/06,0.4075
2023/10/05,1.107
2023/10/04,-1.0998
2023/10/03,-0.6219
2023/10/02,1.2448
2023/09/28,0.266
2023/09/27,0.2107
2023/09/26,-1.0707
2023/09/25,0.6592
2023/09/22,0.1704
2023/09/21,-1.3189
2023/09/20,-0.6105
2023/09/19,-0.3708
2023/09/18,-1.316
2023/09/15,0.6745
2023/09/14,1.3633
2023/09/13,0.0531
2023/09/12,0.8505
2023/09/11,-0.8631
2023/09/08,-0.2595
2023/09/07,-0.7111
2023/09/06,-0.3183
2023/09/05,0.0114
2023/09/04,0.8696
2023/09/01,0.0627
2023/08/31,-0.5102
2023/08/30,0.5785
2023/08/29,0.6929
2023/08/28,0.1679
2023/08/25,-1.725
2023/08/24,1.1701
2023/08/23,0.8474
2023/08/22,0.3426
2023/08/21,0.0011
2023/08/18,-0.8195
2023/08/17,0.4249
2023/08/16,-0.0487
2023/08/15,0.3729
2023/08/14,-1.2504
2023/08/11,-0.2011
2023/08/10,-1.4003
2023/08/09,-0.0363
2023/08/08,-0.6998
2023/08/07,0.9043
2023/08/04,-0.2963
2023/08/02,-1.8541
2023/08/01,0.3933
2023/07/31,-0.8529
2023/07/28,0.2964
2023/07/27,0.4619
2023/07/26,-0.2113
2023/07/25,0.9703
2023/07/24,0.0171
2023/07/21,-0.7818
2023/07/20,0.2831
2023/07/19,-0.647
2023/07/18,-0.6137
2023/07/17,0.2926
2023/07/14,1.303
2023/07/13,0.5858
2023/07/12,0.3735
2023/07/11,1.4779
2023/07/10,-0.0685
2023/07/07,-0.5844
2023/07/06,-1.7252
2023/07/05,-0.492
2023/07/04,0.3311
2023/07/03,0.9971
2023/06/30,-0.1579
2023/06/29,0.0394
2023/06/28,0.2826
2023/06/27,-1.0044
2023/06/26,-0.8322
2023/06/21,0.1018
2023/06/20,-0.519
2023/06/19,-0.083
2023/06/16,-0.2658
2023/06/15,0.5618
2023/06/14,0.1251
2023/06/13,1.5407
2023/06/12,0.4084
2023/06/09,0.9126
2023/06/08,-1.1156
2023/06/07,0.9595
2023/06/06,0.2826
2023/06/05,0.045
2023/06/02,1.1764
2023/06/01,-0.4
2023/05/31,-0.2634
2023/05/30,-0.0815
2023/05/29,0.7952
2023/05/26,1.3077
2023/05/25,0.8211
2023/05/24,-0.1774
2023/05/23,0.0441
2023/05/22,0.0369
2023/05/19,0.4536
2023/05/18,1.1089
2023/05/17,1.6039
2023/05/16,1.285
2023/05/15,-0.1762
2023/05/12,-0.0792
2023/05/11,-0.8127
2023/05/10,-0.5464
2023/05/09,0.1792
2023/05/08,0.4704
2023/05/05,0.1092
2023/05/04,0.3576
2023/05/03,-0.5313
2023/05/02,0.3678
2023/04/28,1.0881
2023/04/27,0.2397
2023/04/26,0.0254
2023/04/25,-1.6391
2023/04/24,0.153
2023/04/21,-0.6655
2023/04/20,-0.3992
2023/04/19,-0.6237
2023/04/18,-0.5895
2023/04/17,0.2142
2023/04/14,0.7888
2023/04/13,-0.8047
2023/04/12,0.12
2023/04/11,0.2375
2023/04/10,0.2505
2023/04/07,0.1627
2023/04/06,-0.361
2023/03/31,0.1175
2023/03/30,0.5052
2023/03/29,0.4349
2023/03/28,-0.8138
2023/03/27,-0.5303
2023/03/24,0.3199
2023/03/23,0.6566
2023/03/22,1.5922
2023/03/21,0.6062
2023/03/20,-0.2135
2023/03/17,1.5231
2023/03/16,-1.0818
2023/03/15,0.1769
2023/03/14,-1.2858
2023/03/13,0.2209
2023/03/10,-1.5501
2023/03/09,-0.3005
2023/03/08,-0.2503
2023/03/07,0.5987
2023/03/06,0.9936
2023/03/03,0.0622
2023/03/02,0.0015
2023/03/01,0.6108
2023/02/24,-0.7148
2023/02/23,1.2753
2023/02/22,-0.9267
2023/02/21,0.0757
2023/02/20,0.4621
2023/02/17,-0.4553
2023/02/16,0.7621
2023/02/15,-1.4155
2023/02/14,0.7089
2023/02/13,-0.2718
2023/02/10,-0.0773
2023/02/09,-0.1246
2023/02/08,1.4107
2023/02/07,0.0526
2023/02/06,-1.3449
2023/02/03,0.0481
2023/02/02,1.1351
2023/02/01,1.0149
2023/01/31,-1.4756
2023/01/30,3.7561
2023/01/17,0.0397
2023/01/16,0.694
2023/01/13,0.6278
2023/01/12,-0.1342
2023/01/11,-0.348
2023/01/10,0.344
2023/01/09,2.6359
2023/01/06,0.5055
2023/01/05,0.7178
2023/01/04,-0.1757
2023/01/03,0.6113
2022/12/30,0.3739
2022/12/29,-0.6215
2022/12/28,-1.0841
2022/12/27,0.3031
2022/12/26,0.0946
2022/12/23,-1.1861
2022/12/22,1.465
2022/12/21,0.4543
2022/12/20,-1.8242
2022/12/19,-0.6555
2022/12/16,-1.3953
2022/12/15,-0.0355
2022/12/14,1.4901
2022/12/13,-0.6134
2022/12/12,-0.6313
2022/12/09,1.0471
2022/12/08,-0.5261
2022/12/07,-0.6713
2022/12/06,-1.6812
2022/12/05,0.0672
2022/12/02,-0.2806
2022/12/01,0.8955
2022/11/30,1.1551
2022/11/29,1.0495
2022/11/28,-1.4997
2022/11/25,-0.0371
2022/11/24,1.2011
2022/11/23,0.4562
2022/11/22,0.6423
2022/11/21,-0.3833
2022/11/18,-0.208
2022/11/17,-0.0146
2022/11/16,-0.0616
2022/11/15,2.6202
2022/11/14,1.1946
2022/11/11,3.7308
2022/11/10,-0.9902
2022/11/09,2.1805
2022/11/08,0.9379
2022/11/07,1.5124
2022/11/04,0.3089
2022/11/03,-0.8669
2022/11/02,0.4829
2022/11/01,0.6754
2022/10/31,1.2615
2022/10/28,-1.0672
2022/10/27,1.5502
2022/10/26,0.4968
2022/10/25,-1.4845
2022/10/24,0.2947
2022/10/21,-0.9802
2022/10/20,-0.2363
2022/10/19,-1.127
2022/10/18,1.2234
2022/10/17,-1.2345
2022/10/14,2.4775
2022/10/13,-2.0679
2022/10/12,-0.1891
2022/10/11,-4.3515
2022/10/07,-1.366
2022/10/06,0.6566
2022/10/05,1.6566
2022/10/04,2.0754
2022/10/03,-0.9244
2022/09/30,-0.8104
2022/09/29,0.5064
2022/09/28,-2.6074
2022/09/27,0.3513
2022/09/26,-2.4096
2022/09/23,-1.1638
2022/09/22,-0.9698
2022/09/21,-0.8576
2022/09/20,0.8569
2022/09/19,-0.9345
2022/09/16,-0.7381
2022/09/15,0.08
2022/09/14,-1.5852
2022/09/13,0.5874
2022/09/12,1.5361
2022/09/08,1.2031
2022/09/07,-1.8202
2022/09/06,0.1098
2022/09/05,-0.0814
2022/09/02,-0.8703
2022/09/01,-1.9448
2022/08/31,0.9483
2022/08/30,0.1838
2022/08/29,-2.3055
2022/08/26,0.5158
2022/08/25,0.8683
2022/08/24,-0.1769
2022/08/23,-0.979
2022/08/22,-1.062
2022/08/19,0.0781
2022/08/18,-0.4442
2022/08/17,0.291
2022/08/16,0.0209
2022/08/15,0.8397
2022/08/12,0.5996
2022/08/11,1.7326
2022/08/10,-0.7393
2022/08/09,0.1989
2022/08/08,-0.104
2022/08/05,2.2707
2022/08/04,-0.5063
2022/08/03,0.202
2022/08/02,-1.565
2022/08/01,-0.1225
2022/07/29,0.7264
2022/07/28,-0.199
2022/07/27,0.7754
2022/07/26,-0.8673
2022/07/25,-0.0872
2022/07/22,0.0781
2022/07/21,1.3879
2022/07/20,0.2664
2022/07/19,-0.1736
2022/07/18,1.1616
2022/07/15,0.7764
2022/07/14,0.7947
2022/07/13,2.6813
2022/07/12,-2.7189
2022/07/11,-0.8573
2022/07/08,0.8947
2022/07/07,2.508
2022/07/06,-2.5346
2022/07/05,0.9294
2022/07/04,-0.8786
2022/07/01,-3.2555
2022/06/30,-2.7191
2022/06/29,-1.294
2022/06/28,-0.6952
2022/06/27,1.5989
2022/06/24,0.836
2022/06/23,-1.1162
2022/06/22,-2.4216
2022/06/21,2.3495
2022/06/20,-1.7497
2022/06/17,-1.246
2022/06/16,-1.004
2022/06/15,-0.2999
2022/06/14,-0.1469
2022/06/13,-2.3641
2022/06/10,-0.97
2022/06/09,-0.295
2022/06/08,0.9546
2022/06/07,-0.5605
2022/06/06,0.3225
2022/06/02,-0.7347
2022/06/01,-0.7894
2022/05/31,1.1869
2022/05/30,2.1173
2022/05/27,1.8623
2022/05/26,-0.8395
2022/05/25,0.8795
2022/05/24,-1.1932
2022/05/23,0.0716
2022/05/20,0.7773
2022/05/19,-1.6969
2022/05/18,1.4996
2022/05/17,0.9751
2022/05/16,0.4327
2022/05/13,1.3822
2022/05/12,-2.4339
2022/05/11,-0.3452
2022/05/10,0.0796
2022/05/09,-2.1896
2022/05/06,-1.7245
2022/05/05,0.7865
2022/05/04,0.4057
2022/05/03,-0.5622
2022/04/29,1.0524
2022/04/28,0.7117
2022/04/27,-2.0513
2022/04/26,0.1437
2022/04/25,-2.3741
2022/04/22,-0.6005
2022/04/21,-0.122
2022/04/20,0.9149
2022/04/19,0.5594
2022/04/18,-0.6193
2022/04/15,-1.4002
2022/04/14,-0.3237
2022/04/13,1.8289
2022/04/12,-0.337
2022/04/11,-1.3664
2022/04/08,0.6165
2022/04/07,-1.9624
2022/04/06,-0.5849
2022/04/01,-0.3836
2022/03/31,-0.2654
2022/03/30,1.0935
2022/03/29,0.1635
2022/03/28,-0.8878
2022/03/25,-0.1249
2022/03/24,-0.1822
2022/03/23,0.9776
2022/03/22,-0.0037
2022/03/21,0.5948
2022/03/18,0.0476
2022/03/17,2.9951
2022/03/16,0.0873
2022/03/15,-1.952
2022/03/14,-0.0098
2022/03/11,-0.9663
2022/03/10,2.4557
2022/03/09,1.1299
2022/03/08,-2.0574
2022/03/07,-3.1451
2022/03/04,-1.1034
2022/03/03,0.3739
2022/03/02,-0.1712
2022/03/01,1.394
2022/02/25,0.3275
2022/02/24,-2.5542
2022/02/23,0.481
2022/02/22,-1.3841
2022/02/21,-0.0596
2022/02/18,-0.1983
2022/02/17,0.2035
2022/02/16,1.5578
2022/02/15,-0.2548
2022/02/14,-1.7108
2022/02/11,-0.1478
2022/02/10,1.0263
2022/02/09,1.0308
2022/02/08,0.3702
2022/02/07,1.2781
2022/01/26,-0.151
2022/01/25,-1.6005
2022/01/24,0.5014
2022/01/21,-1.7509
2022/01/20,-0.0504
2022/01/19,-0.8226
2022/01/18,-0.7924
2022/01/17,0.6635
2022/01/14,-0.1822
2022/01/13,0.3348
2022/01/12,0.4768
2022/01/11,0.2677
2022/01/10,0.3832
2022/01/07,-1.0788
2022/01/06,-0.7137
2022/01/05,-0.1424
2022/01/04,1.4003
2022/01/03,0.2836
2021/12/30,-0.1613
2021/12/29,0.2829
2021/12/28,0.8193
2021/12/27,0.486
2021/12/24,0.0835
2021/12/23,0.6722
2021/12/22,0.2111
2021/12/21,0.6801
2021/12/20,-0.8055
2021/12/17,0.151
2021/12/16,0.7114
2021/12/15,0.3451
2021/12/14,-0.9468
2021/12/13,-0.3291
2021/12/10,-0.4905
2021/12/09,0.4582
2021/12/08,0.1995
2021/12/07,0.6146
2021/12/06,-0.0505
2021/12/03,-0.1565
2021/12/02,0.7898
2021/12/01,0.9079
2021/11/30,0.5752
2021/11/29,-0.2378
2021/11/26,-1.6132
2021/11/25,0.0661
2021/11/24,-0.1336
2021/11/23,-0.7719
2021/11/22,-0.0829
2021/11/19,-0.1293
2021/11/18,0.4353
2021/11/17,0.4008
2021/11/16,0.3326
2021/11/15,0.6641
2021/11/12,0.3759
2021/11/11,-0.6101
2021/11/10,0.1043
2021/11/09,0.7238
2021/11/08,0.6845
2021/11/05,1.2767
2021/11/04,-0.2529
2021/11/03,0.3293
2021/11/02,-0.0133
2021/11/01,0.4758
2021/10/29,-0.3182
2021/10/28,-0.1928
2021/10/27,0.2361
2021/10/26,0.8293
2021/10/25,0.0326
2021/10/22,-0.0046
2021/10/21,0.01
2021/10/20,-0.076
2021/10/19,1.1685
2021/10/18,-0.4513
2021/10/15,2.4038
2021/10/14,0.2403
2021/10/13,-0.6976
2021/10/12,-1.0672
2021/10/08,-0.4393
2021/10/07,1.9563
2021/10/06,-0.4106
2021/10/05,0.3193
2021/10/04,-0.9809
2021/10/01,-2.1487
2021/09/30,0.4705
2021/09/29,-1.8973
2021/09/28,-0.7643
2021/09/27,0.3104
2021/09/24,1.0655
2021/09/23,0.9004
2021/09/22,-2.0315
2021/09/17,-0.0111
2021/09/16,-0.4339
2021/09/15,-0.464
2021/09/14,-0.0654
2021/09/13,-0.1617
2021/09/10,0.9838
2021/09/09,0.1959
2021/09/08,-0.9087
2021/09/07,-0.3797
2021/09/06,-0.1234
2021/09/03,1.1384
2021/09/02,-0.8826
2021/09/01,-0.0932
2021/08/31,0.539
2021/08/30,1.0842
2021/08/27,0.8377
2021/08/26,0.1238
2021/08/25,1.3505
2021/08/24,0.4593
2021/08/23,2.4471
2021/08/20,-0.2043
2021/08/19,-2.6796
2021/08/18,0.9898
2021/08/17,-1.171
2021/08/16,-0.7263
2021/08/13,-1.3811
2021/08/12,-0.042
2021/08/11,-0.5568
2021/08/10,-0.9237
2021/08/09,-0.2347
2021/08/06,-0.4365
2021/08/05,-0.1179
2021/08/04,0.3995
2021/08/03,0.2884
2021/08/02,1.4835
2021/07/30,-0.893
2021/07/29,1.5616
2021/07/28,-0.7797
2021/07/27,-0.7682
2021/07/26,-0.9638
2021/07/23,0.0034
2021/07/22,0.6503
2021/07/21,-0.3991
2021/07/20,-1.4644
2021/07/19,-0.5923
2021/07/16,-0.7704
2021/07/15,1.0559
2021/07/14,-0.0099
2021/07/13,0.1863
2021/07/12,0.8654
2021/07/09,-1.1452
2021/07/08,0.0863
2021/07/07,-0.3482
2021/07/06,-0.0349
2021/07/05,1.1811
2021/07/02,-0.0214
2021/07/01,-0.2338
2021/06/30,0.8937
2021/06/29,0.041
2021/06/28,0.5027
2021/06/25,0.5459
2021/06/24,0.411
2021/06/23,1.5294
2021/06/22,0.0737
2021/06/21,-1.4756
2021/06/18,-0.4144
2021/06/17,0.4781
2021/06/16,-0.3651
2021/06/15,0.9165
2021/06/11,0.3164
2021/06/10,1.1376
2021/06/09,-0.6441
2021/06/08,-0.0451
2021/06/07,-0.3703
2021/06/04,-0.5726
2021/06/03,0.4726
2021/06/02,0.0155
2021/06/01,0.5504
2021/05/31,1.1711
2021/05/28,1.6218
2021/05/27,-0.2528
2021/05/26,0.2894
2021/05/25,1.5753
2021/05/24,0.2222
2021/05/21,1.6188
2021/05/20,-0.5597
2021/05/19,-0.0825
2021/05/18,5.1589
2021/05/17,-2.9898
2021/05/14,1.0018
2021/05/13,-1.4606
2021/05/12,-4.1051
2021/05/11,-3.7857
2021/05/10,-0.2857
2021/05/07,1.7102
2021/05/06,0.896
2021/05/05,-0.5335
2021/05/04,-1.6756
2021/05/03,-1.96
2021/04/29,-0.005
2021/04/28,-0.1612
2021/04/27,0.1344
2021/04/26,1.5723
2021/04/23,1.1891
2021/04/22,-0.6112
2021/04/21,-0.7028
2021/04/20,0.351
2021/04/19,0.6088
2021/04/16,0.4807
2021/04/15,1.2496
2021/04/14,0.244
2021/04/13,-0.2064
2021/04/12,0.0332
2021/04/09,-0.4274
2021/04/08,0.6606
2021/04/07,0.451
2021/04/06,1.0174
2021/04/01,0.853
2021/03/31,-0.7476
2021/03/30,0.4791
2021/03/29,1.0431
2021/03/26,1.5301
2021/03/25,0.1748
2021/03/24,-0.8992
2021/03/23,-0.0718
2021/03/22,0.7404
2021/03/19,-1.336
2021/03/18,0.4441
2021/03/17,-0.5967
2021/03/16,0.3928
2021/03/15,-0.036
2021/03/12,0.4674
2021/03/11,1.6836
2021/03/10,0.3695
2021/03/09,0.2085
2021/03/08,-0.2215
2021/03/05,-0.3218
2021/03/04,-1.8833
2021/03/03,1.6608
2021/03/02,-0.0434
2021/02/26,-3.0293
2021/02/25,1.4782
2021/02/24,-1.404
2021/02/23,0.2026
2021/02/22,0.4209
2021/02/19,-0.5061
2021/02/18,0.3803
2021/02/17,3.5431
2021/02/05,0.6124
2021/02/04,-0.4128
2021/02/03,0.0715
2021/02/02,2.271
2021/02/01,1.7953
2021/01/29,-1.8005
2021/01/28,-1.8187
2021/01/27,0.2721
2021/01/26,-1.8041
2021/01/25,-0.4525
2021/01/22,-0.8341
2021/01/21,2.1991
2021/01/20,-0.4484
2021/01/19,1.6998
2021/01/18,-0.0281
2021/01/15,-0.5781
2021/01/14,-0.3982
2021/01/13,1.7372
2021/01/12,-0.3638
2021/01/11,0.6037
2021/01/08,1.6429
2021/01/07,1.5409
2021/01/06,-0.1127
2021/01/05,0.6576
2021/01/04,1.1505
2020/12/31,0.3052
2020/12/30,1.4901
2020/12/29,-0.0761
2020/12/28,1.0582
2020/12/25,0.3581
2020/12/24,0.4021
2020/12/23,0.3218
2020/12/22,-1.4425
2020/12/21,0.9474
2020/12/18,-0.0629
2020/12/17,-0.3183
2020/12/16,1.6771
2020/12/15,-1.003
2020/12/14,-0.3551
2020/12/11,0.0856
2020/12/10,-0.9774
2020/12/09,0.2071
2020/12/08,0.7281
2020/12/07,0.8785
2020/12/04,1.1115
2020/12/03,-0.0861
2020/12/02,0.7452
2020/12/01,1.1862
2020/11/30,-1.0399
2020/11/27,0.1548
2020/11/26,0.7776
2020/11/25,-0.4947
2020/11/24,-0.5107
2020/11/23,1.1779
2020/11/20,-0.0437
2020/11/19,-0.3693
2020/11/18,1.3263
2020/11/17,0.3039
2020/11/16,2.0982
2020/11/13,0.3899
2020/11/12,-0.3047
2020/11/11,1.3796
2020/11/10,-0.3485
2020/11/09,1.1866
2020/11/06,0.4236
2020/11/05,0.3956
2020/11/04,1.0356
2020/11/03,1.1492
2020/11/02,0.3584
2020/10/30,-0.9206
2020/10/29,-1.0227
2020/10/28,-0.6311
2020/10/27,-0.2635
2020/10/26,0.0792
2020/10/23,-0.141
2020/10/22,0.3089
2020/10/21,0.1157
2020/10/20,-0.3561
2020/10/19,1.2389
2020/10/16,-0.6038
2020/10/15,-0.7082
2020/10/14,-0.2149
2020/10/13,-0.0678
2020/10/12,0.5332
2020/10/08,1.1048
2020/10/07,0.3317
2020/10/06,1.2428
2020/10/05,0.261
2020/09/30,0.384
2020/09/29,0.0399
2020/09/28,1.8789
2020/09/25,-0.2566
2020/09/24,-2.539
2020/09/23,-0.4874
2020/09/22,-1.1693
2020/09/21,-0.6252
2020/09/18,0.0224
2020/09/17,-0.8016
2020/09/16,1.0207
2020/09/15,0.4522
2020/09/14,0.8825
2020/09/11,-0.1245
2020/09/10,0.6596
2020/09/09,-0.4342
2020/09/08,0.4933
2020/09/07,-0.2892
2020/09/04,-0.9407
2020/09/03,0.4604
2020/09/02,-0.0298
2020/09/01,0.8881
2020/08/31,-1.0794
2020/08/28,-0.535
2020/08/27,-0.2804
2020/08/26,0.5882
2020/08/25,0.8786
2020/08/24,0.3116
2020/08/21,1.9834
2020/08/20,-3.2554
2020/08/19,-0.7264
2020/08/18,-0.6481
2020/08/17,1.2555
2020/08/14,0.2533
2020/08/13,0.7323
2020/08/12,-0.8595
2020/08/11,-0.8827
2020/08/10,0.5077
2020/08/07,-0.6554
2020/08/06,0.8686
2020/08/05,0.7268
2020/08/04,1.5735
2020/08/03,-1.1984
2020/07/31,-0.4568
2020/07/30,1.4508
2020/07/29,-0.3636
2020/07/28,-0.0125
2020/07/27,2.3103
2020/07/24,-0.8781
2020/07/23,-0.4829
2020/07/22,0.6108
2020/07/21,1.8318
2020/07/20,-0.0576
2020/07/17,0.1959
2020/07/16,-0.3697
2020/07/15,-0.0505
2020/07/14,-0.0209
2020/07/13,1.142
2020/07/10,-0.9761
2020/07/09,0.1849
2020/07/08,0.6386
2020/07/07,-0.1958
2020/07/06,1.7427
2020/07/03,0.8811
2020/07/02,0.8691
2020/07/01,0.7072
2020/06/30,0.6811
2020/06/29,-1.0124
2020/06/24,0.416
2020/06/23,0.3407
2020/06/22,0.1997
2020/06/19,0.0132
2020/06/18,0.1191
2020/06/17,0.1994
2020/06/16,1.8165
2020/06/15,-1.0821
2020/06/12,-0.9174
2020/06/11,-1.5733
2020/06/10,0.7137
2020/06/09,0.2307
2020/06/08,1.1405
2020/06/05,0.7563
2020/06/04,0.6455
2020/06/03,1.7275
2020/06/02,0.4415
2020/06/01,1.2508
2020/05/29,-0.0185
2020/05/28,-0.6398
2020/05/27,0.1587
2020/05/26,1.1593
2020/05/25,0.5553
2020/05/22,-1.791
2020/05/21,0.9215
2020/05/20,0.4361
2020/05/19,1.1162
2020/05/18,-0.6877
2020/05/15,0.3157
2020/05/14,-1.4389
2020/05/13,0.5405
2020/05/12,-1.2148
2020/05/11,1.0259
2020/05/08,0.5395
2020/05/07,0.6305
2020/05/06,0.0034
2020/05/05,0.5049
2020/05/04,-2.4714
2020/04/30,2.0415
2020/04/29,1.471
2020/04/28,0.4617
2020/04/27,2.1253
2020/04/24,-0.1847
2020/04/23,0.5702
2020/04/22,0.1878
2020/04/21,-2.8176
2020/04/20,-0.0975
2020/04/17,2.1354
2020/04/16,-0.6866
2020/04/15,1.1059
2020/04/14,2.3142
2020/04/13,-0.5748
2020/04/10,0.3773
2020/04/09,-0.178
2020/04/08,1.4113
2020/04/07,1.8093
2020/04/06,1.6051
2020/04/01,-0.4577
2020/03/31,0.8166
2020/03/30,-0.7165
2020/03/27,-0.3845
2020/03/26,0.9498
2020/03/25,3.8676
2020/03/24,4.4498
2020/03/23,-3.726
2020/03/20,6.3671
2020/03/19,-5.8287
2020/03/18,-2.3408
2020/03/17,-2.8622
2020/03/16,-4.0587
2020/03/13,-2.8156
2020/03/12,-4.3275
